127.0.0.1, 2018-04-22 15:01:15, GET, /, HTTP/1.1, 303, 0.016874
127.0.0.1, 2018-04-22 15:01:15, GET, /welcome/default/index, HTTP/1.1, 200, 0.349284
127.0.0.1, 2018-04-22 15:01:21, GET, /admin/default/index, HTTP/1.1, 200, 0.200454
127.0.0.1, 2018-04-22 15:01:21, GET, /admin/static/_2.16.1/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 200, 0.000568
127.0.0.1, 2018-04-22 15:01:21, GET, /admin/static/_2.16.1/plugin_multiselect/multi-select.css, HTTP/1.1, 200, 0.000604
127.0.0.1, 2018-04-22 15:01:21, GET, /admin/static/_2.16.1/js/calendar.js, HTTP/1.1, 200, 0.000649
127.0.0.1, 2018-04-22 15:01:21, GET, /admin/static/_2.16.1/css/bootstrap_essentials.css, HTTP/1.1, 200, 0.000749
127.0.0.1, 2018-04-22 15:01:21, GET, /admin/static/_2.16.1/plugin_statebutton/css/bootstrap-switch.css, HTTP/1.1, 200, 0.002255
127.0.0.1, 2018-04-22 15:01:21, GET, /admin/static/_2.16.1/css/bootstrap.min.css, HTTP/1.1, 200, 0.001712
127.0.0.1, 2018-04-22 15:01:21, GET, /admin/static/_2.16.1/css/calendar.css, HTTP/1.1, 200, 0.022843
127.0.0.1, 2018-04-22 15:01:22, GET, /admin/static/_2.16.1/plugin_multiselect/start.js, HTTP/1.1, 200, 0.000861
127.0.0.1, 2018-04-22 15:01:22, GET, /admin/static/_2.16.1/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.001915
127.0.0.1, 2018-04-22 15:01:22, GET, /admin/static/_2.16.1/js/web2py.js, HTTP/1.1, 200, 0.027334
127.0.0.1, 2018-04-22 15:01:22, GET, /admin/static/_2.16.1/js/jquery.js, HTTP/1.1, 200, 0.035450
127.0.0.1, 2018-04-22 15:01:22, GET, /admin/static/_2.16.1/plugin_statebutton/js/bootstrap-switch.js, HTTP/1.1, 200, 0.000606
127.0.0.1, 2018-04-22 15:01:22, GET, /admin/static/_2.16.1/js/bootstrap.min.js, HTTP/1.1, 200, 0.000700
127.0.0.1, 2018-04-22 15:01:22, GET, /admin/static/_2.16.1/images/questions.png, HTTP/1.1, 200, 0.000587
127.0.0.1, 2018-04-22 15:01:22, GET, /favicon.ico, HTTP/1.1, 400, 0.000213
127.0.0.1, 2018-04-22 15:01:25, POST, /admin/default/index, HTTP/1.1, 303, 0.022370
127.0.0.1, 2018-04-22 15:01:25, GET, /admin/default/site, HTTP/1.1, 200, 0.053124
127.0.0.1, 2018-04-22 15:01:25, GET, /admin/static/_2.16.1/images/folder.png, HTTP/1.1, 200, 0.003301
127.0.0.1, 2018-04-22 15:01:25, GET, /admin/static/_2.16.1/images/folder_locked.png, HTTP/1.1, 200, 0.002259
127.0.0.1, 2018-04-22 15:01:25, GET, /admin/static/_2.16.1/images/glyphicons-halflings-white.png, HTTP/1.1, 200, 0.000649
127.0.0.1, 2018-04-22 15:01:25, POST, /admin/default/check_version, HTTP/1.1, 200, 0.401042
127.0.0.1, 2018-04-22 15:01:26, GET, /favicon.ico, HTTP/1.1, 400, 0.000306
127.0.0.1, 2018-04-22 15:11:11, GET, /, HTTP/1.1, 303, 0.011528
127.0.0.1, 2018-04-22 15:11:12, GET, /welcome/default/index, HTTP/1.1, 200, 0.160741
127.0.0.1, 2018-04-22 15:11:26, GET, /admin/default/index, HTTP/1.1, 303, 0.140793
127.0.0.1, 2018-04-22 15:11:26, GET, /admin/default/site, HTTP/1.1, 200, 0.049003
127.0.0.1, 2018-04-22 15:11:27, GET, /favicon.ico, HTTP/1.1, 400, 0.000560
127.0.0.1, 2018-04-22 15:11:30, GET, /start/default/index, HTTP/1.1, 200, 0.103609
127.0.0.1, 2018-04-22 15:11:30, GET, /start/static/css/stupid.css, HTTP/1.1, 200, 0.000764
127.0.0.1, 2018-04-22 15:11:30, GET, /start/static/css/custom.css, HTTP/1.1, 200, 0.003738
127.0.0.1, 2018-04-22 15:11:30, GET, /start/static/css/calendar.css, HTTP/1.1, 200, 0.000972
127.0.0.1, 2018-04-22 15:11:30, GET, /start/static/css/myapp.css, HTTP/1.1, 200, 0.000546
127.0.0.1, 2018-04-22 15:11:30, GET, /start/static/js/jquery.js, HTTP/1.1, 200, 0.001898
127.0.0.1, 2018-04-22 15:11:30, GET, /start/static/font-awesome-4.6.3/css/font-awesome.min.css, HTTP/1.1, 200, 0.003966
127.0.0.1, 2018-04-22 15:11:30, GET, /start/static/js/calendar.js, HTTP/1.1, 200, 0.000697
127.0.0.1, 2018-04-22 15:11:30, GET, /start/static/js/web2py.js, HTTP/1.1, 200, 0.002671
127.0.0.1, 2018-04-22 15:11:30, GET, /start/static/js/marked.min.js, HTTP/1.1, 200, 0.001581
127.0.0.1, 2018-04-22 15:11:30, GET, /start/static/css/web2py.css, HTTP/1.1, 200, 0.003772
127.0.0.1, 2018-04-22 15:11:30, GET, /start/static/js/vue.min.js, HTTP/1.1, 200, 0.000608
127.0.0.1, 2018-04-22 15:11:30, GET, /start/static/font-awesome-4.6.3/fonts/fontawesome-webfont.woff2, HTTP/1.1, 200, 0.000389
127.0.0.1, 2018-04-22 15:11:30, GET, /favicon.ico, HTTP/1.1, 400, 0.000391
127.0.0.1, 2018-04-22 15:11:36, GET, /admin/default/site, HTTP/1.1, 200, 0.035148
127.0.0.1, 2018-04-22 15:11:36, GET, /favicon.ico, HTTP/1.1, 400, 0.000210
127.0.0.1, 2018-04-22 15:11:38, GET, /welcome/default/index, HTTP/1.1, 200, 0.025238
127.0.0.1, 2018-04-22 15:11:40, GET, /admin/default/index, HTTP/1.1, 303, 0.012018
127.0.0.1, 2018-04-22 15:11:40, GET, /admin/default/site, HTTP/1.1, 200, 0.029007
127.0.0.1, 2018-04-22 15:11:40, GET, /favicon.ico, HTTP/1.1, 400, 0.000240
127.0.0.1, 2018-04-22 15:11:40, GET, /examples/default/index, HTTP/1.1, 200, 0.016072
127.0.0.1, 2018-04-22 15:11:40, GET, /examples/static/css/calendar.css, HTTP/1.1, 200, 0.000732
127.0.0.1, 2018-04-22 15:11:40, GET, /examples/static/css/web2py.css, HTTP/1.1, 200, 0.001052
127.0.0.1, 2018-04-22 15:11:40, GET, /examples/static/css/stupid.css, HTTP/1.1, 200, 0.001030
127.0.0.1, 2018-04-22 15:11:40, GET, /examples/static/css/examples.css, HTTP/1.1, 200, 0.000566
127.0.0.1, 2018-04-22 15:11:41, GET, /examples/static/js/jquery.js, HTTP/1.1, 200, 0.000591
127.0.0.1, 2018-04-22 15:11:41, GET, /examples/static/js/web2py.js, HTTP/1.1, 200, 0.000548
127.0.0.1, 2018-04-22 15:11:41, GET, /examples/static/js/calendar.js, HTTP/1.1, 200, 0.000919
127.0.0.1, 2018-04-22 15:11:41, GET, /examples/static/images/web2py_logo.png, HTTP/1.1, 200, 0.000860
127.0.0.1, 2018-04-22 15:11:41, GET, /examples/static/images/book-5th.png, HTTP/1.1, 200, 0.000848
127.0.0.1, 2018-04-22 15:11:41, GET, /examples/static/images/videos.png, HTTP/1.1, 200, 0.000441
127.0.0.1, 2018-04-22 15:11:41, GET, /examples/static/images/book-recipes.png, HTTP/1.1, 200, 0.000591
127.0.0.1, 2018-04-22 15:11:41, GET, /examples/static/images/infoworld2012.jpeg, HTTP/1.1, 200, 0.000574
127.0.0.1, 2018-04-22 15:11:41, GET, /examples/static/images/favicon.ico, HTTP/1.1, 200, 0.001418
127.0.0.1, 2018-04-22 15:11:46, GET, /examples/default/support, HTTP/1.1, 200, 0.006592
127.0.0.1, 2018-04-22 15:16:31, GET, /, HTTP/1.1, 303, 0.015413
127.0.0.1, 2018-04-22 15:16:31, GET, /welcome/default/index, HTTP/1.1, 200, 0.246188
127.0.0.1, 2018-04-22 15:16:36, GET, /welcome/default/index, HTTP/1.1, 200, 0.025960
127.0.0.1, 2018-04-22 15:16:37, GET, /admin/default/index, HTTP/1.1, 303, 0.212774
127.0.0.1, 2018-04-22 15:16:37, GET, /admin/default/site, HTTP/1.1, 200, 0.069321
127.0.0.1, 2018-04-22 15:16:39, GET, /start/default/index, HTTP/1.1, 200, 0.109649
127.0.0.1, 2018-04-22 15:16:39, GET, /start/static/css/custom.css, HTTP/1.1, 304, 0.000639
127.0.0.1, 2018-04-22 15:16:39, GET, /start/static/font-awesome-4.6.3/css/font-awesome.min.css, HTTP/1.1, 304, 0.001570
127.0.0.1, 2018-04-22 15:16:39, GET, /start/static/css/calendar.css, HTTP/1.1, 304, 0.001670
127.0.0.1, 2018-04-22 15:16:39, GET, /start/static/css/web2py.css, HTTP/1.1, 304, 0.001577
127.0.0.1, 2018-04-22 15:16:39, GET, /start/static/js/jquery.js, HTTP/1.1, 304, 0.000845
127.0.0.1, 2018-04-22 15:16:39, GET, /start/static/css/myapp.css, HTTP/1.1, 304, 0.004257
127.0.0.1, 2018-04-22 15:16:39, GET, /start/static/js/calendar.js, HTTP/1.1, 304, 0.003250
127.0.0.1, 2018-04-22 15:16:39, GET, /start/static/css/stupid.css, HTTP/1.1, 304, 0.001636
127.0.0.1, 2018-04-22 15:16:39, GET, /start/static/js/web2py.js, HTTP/1.1, 304, 0.001570
127.0.0.1, 2018-04-22 15:16:39, GET, /start/static/js/vue.min.js, HTTP/1.1, 304, 0.000437
127.0.0.1, 2018-04-22 15:16:39, GET, /start/static/js/marked.min.js, HTTP/1.1, 304, 0.001020
127.0.0.1, 2018-04-22 15:16:39, GET, /favicon.ico, HTTP/1.1, 400, 0.000337
127.0.0.1, 2018-04-22 15:16:39, GET, /start/static/font-awesome-4.6.3/fonts/fontawesome-webfont.woff2, HTTP/1.1, 304, 0.000346
127.0.0.1, 2018-04-22 15:16:39, GET, /favicon.ico, HTTP/1.1, 400, 0.000259
127.0.0.1, 2018-04-22 15:16:46, GET, /favicon.ico, HTTP/1.1, 400, 0.000231
127.0.0.1, 2018-04-22 15:16:48, GET, /start/default/user/login, HTTP/1.1, 200, 0.038503
127.0.0.1, 2018-04-22 15:16:48, GET, /favicon.ico, HTTP/1.1, 400, 0.000261
127.0.0.1, 2018-04-22 15:16:54, GET, /start/default/index, HTTP/1.1, 200, 0.023323
127.0.0.1, 2018-04-22 15:16:55, GET, /favicon.ico, HTTP/1.1, 400, 0.000375
127.0.0.1, 2018-04-22 15:30:12, GET, /, HTTP/1.1, 303, 0.015926
127.0.0.1, 2018-04-22 15:30:12, GET, /welcome/default/index, HTTP/1.1, 200, 0.212800
127.0.0.1, 2018-04-22 15:30:14, GET, /admin/default/index, HTTP/1.1, 303, 0.174171
127.0.0.1, 2018-04-22 15:30:14, GET, /admin/default/site, HTTP/1.1, 200, 0.068665
127.0.0.1, 2018-04-22 15:30:15, GET, /favicon.ico, HTTP/1.1, 400, 0.000348
127.0.0.1, 2018-04-22 15:30:17, GET, /start/default/index, HTTP/1.1, 200, 0.097297
127.0.0.1, 2018-04-22 15:30:17, GET, /start/static/css/stupid.css, HTTP/1.1, 304, 0.001647
127.0.0.1, 2018-04-22 15:30:17, GET, /start/static/css/custom.css, HTTP/1.1, 304, 0.000481
127.0.0.1, 2018-04-22 15:30:17, GET, /start/static/css/calendar.css, HTTP/1.1, 304, 0.000450
127.0.0.1, 2018-04-22 15:30:17, GET, /start/static/css/web2py.css, HTTP/1.1, 304, 0.000438
127.0.0.1, 2018-04-22 15:30:17, GET, /start/static/css/myapp.css, HTTP/1.1, 304, 0.000446
127.0.0.1, 2018-04-22 15:30:17, GET, /start/static/font-awesome-4.6.3/css/font-awesome.min.css, HTTP/1.1, 304, 0.000641
127.0.0.1, 2018-04-22 15:30:17, GET, /start/static/js/jquery.js, HTTP/1.1, 304, 0.000313
127.0.0.1, 2018-04-22 15:30:17, GET, /start/static/js/calendar.js, HTTP/1.1, 304, 0.006772
127.0.0.1, 2018-04-22 15:30:17, GET, /start/static/js/web2py.js, HTTP/1.1, 304, 0.000599
127.0.0.1, 2018-04-22 15:30:17, GET, /start/static/js/marked.min.js, HTTP/1.1, 304, 0.002051
127.0.0.1, 2018-04-22 15:30:17, GET, /start/static/js/vue.min.js, HTTP/1.1, 304, 0.000569
127.0.0.1, 2018-04-22 15:30:17, GET, /start/static/font-awesome-4.6.3/fonts/fontawesome-webfont.woff2, HTTP/1.1, 304, 0.000454
127.0.0.1, 2018-04-22 15:30:17, GET, /favicon.ico, HTTP/1.1, 400, 0.000347
127.0.0.1, 2018-04-22 15:30:20, GET, /admin/default/site, HTTP/1.1, 200, 0.037746
127.0.0.1, 2018-04-22 15:30:20, GET, /favicon.ico, HTTP/1.1, 400, 0.000352
127.0.0.1, 2018-04-22 15:30:22, GET, /start/default/index, HTTP/1.1, 200, 0.030028
127.0.0.1, 2018-04-22 15:30:22, GET, /favicon.ico, HTTP/1.1, 400, 0.000317
127.0.0.1, 2018-04-22 15:30:23, GET, /start/default/index, HTTP/1.1, 200, 0.027477
127.0.0.1, 2018-04-22 15:30:23, GET, /favicon.ico, HTTP/1.1, 400, 0.000212
127.0.0.1, 2018-04-22 15:30:32, GET, /favicon.ico, HTTP/1.1, 400, 0.000347
127.0.0.1, 2018-04-22 15:31:06, GET, /favicon.ico, HTTP/1.1, 400, 0.000225
127.0.0.1, 2018-04-22 15:31:56, GET, /start/default/index, HTTP/1.1, 200, 0.031270
127.0.0.1, 2018-04-22 15:31:56, GET, /favicon.ico, HTTP/1.1, 400, 0.000627
127.0.0.1, 2018-04-22 15:32:11, GET, /start/default/index, HTTP/1.1, 200, 0.030679
127.0.0.1, 2018-04-22 15:32:11, GET, /favicon.ico, HTTP/1.1, 400, 0.000331
127.0.0.1, 2018-04-22 15:32:14, GET, /start/default/index, HTTP/1.1, 200, 0.020649
127.0.0.1, 2018-04-22 15:32:14, GET, /favicon.ico, HTTP/1.1, 400, 0.000226
127.0.0.1, 2018-04-22 15:32:20, GET, /start/default/index, HTTP/1.1, 200, 0.031260
127.0.0.1, 2018-04-22 15:32:20, GET, /favicon.ico, HTTP/1.1, 400, 0.000722
127.0.0.1, 2018-04-22 15:32:23, GET, /start/default/index, HTTP/1.1, 200, 0.023989
